Text;Intent
xem giờ giúp tôi;ask_time
kiểm tra mấy giờ rồi;ask_time
cho biết giờ hiện tại;ask_time
xem giờ ngay;ask_time
kiểm tra thời gian giúp tôi;ask_time
xem bây giờ mấy giờ;ask_time
mấy giờ rồi;ask_time
bây giờ là mấy giờ;ask_time
mấy giờ rồi ạ;ask_time
cho hỏi giờ hiện tại;ask_time
bây giờ là bao nhiêu giờ;ask_time
xem giúp tôi mấy giờ;ask_time
giờ này là mấy giờ;ask_time
thời gian hiện tại;ask_time
bây giờ đúng mấy giờ;ask_time
mấy giờ tối rồi;ask_time
đã mấy giờ sáng;ask_time
xem giờ dùm;ask_time
còn bao lâu nữa đến 12 giờ;ask_time
bây giờ là mấy giờ, tôi quên xem;ask_time
bạn có thể cho tôi biết bây giờ là mấy giờ không;ask_time
phiền bạn cho hỏi giờ hiện tại;ask_time
xin vui lòng thông báo giờ;ask_time
bạn vui lòng cho biết mấy giờ rồi;ask_time
làm ơn cho tôi biết giờ;ask_time
có thể cho tôi biết bây giờ là mấy giờ được không;ask_time
xin hãy xem giờ dùm tôi;ask_time
bạn ơi, xem giúp tôi mấy giờ rồi;ask_time
làm ơn cập nhật giờ hiện tại;ask_time
bạn có thể cho tôi biết mấy giờ không;ask_time
làm ơn xem giờ giúp tôi;ask_time
bạn cho tôi biết giờ hiện tại nhé;ask_time
có thể cho tôi biết giờ không;ask_time
làm ơn kiểm tra giờ;ask_time
bạn xem giờ giúp tôi được không;ask_time
cho tôi biết mấy giờ rồi;ask_time
bạn kiểm tra thời gian giúp tôi;ask_time
có thể xem giờ không;ask_time
làm ơn cho tôi biết thời gian;ask_time
sắp trễ rồi, xem giờ giúp tôi;ask_time
tôi muốn biết giờ để đi làm;ask_time
không biết mấy giờ rồi;ask_time
cần xem giờ để đi học;ask_time
sắp đến giờ họp, kiểm tra giờ;ask_time
muốn canh giờ, xem giúp tôi;ask_time
không biết thời gian hiện tại là mấy giờ rồi;ask_time
đang vội, xem giờ;ask_time
cần biết giờ chính xác;ask_time
muốn kiểm tra thời gian;ask_time
chuẩn bị đi làm, xem mấy giờ rồi;ask_time
hẹn bạn lúc 8 giờ, bây giờ mấy giờ rồi;ask_time
nấu cơm xem đã đến giờ ăn chưa;ask_time
đi ngủ thôi, xem mấy giờ rồi;ask_time
con đi học về chưa? xem giờ đi;ask_time
bật báo thức lúc mấy giờ nhỉ? xem giờ hiện tại;ask_time
phim chiếu này mấy giờ? xem đã đến giờ chưa;ask_time
tôi đi tập thể dục buổi sáng, xem đã 5 giờ chưa;ask_time
họp online lúc 10 giờ, xem còn bao lâu;ask_time
uống thuốc đúng giờ, xem bây giờ là mấy giờ;ask_time
giờ giấc thế nào rồi;ask_time
đã muộn chưa;ask_time
sắp 12 giờ chưa;ask_time
còn sớm không;ask_time
tối chưa nhỉ;ask_time
sáng chưa;ask_time
chắc trưa rồi nhỉ;ask_time
khuya chưa;ask_time
đến giờ ăn chưa;ask_time
đã ngủ chưa;ask_time
mấy giờ rồi nhỉ;ask_time
không biết giờ rồi;ask_time
giờ sao rồi;ask_time
có muộn chưa;ask_time
tới giờ chưa;ask_time
bao nhiêu giờ rồi;ask_time
không rõ thời gian;ask_time
giờ hiện tại là gì;ask_time
đến giờ chưa;ask_time
bật vô tuyến;open_tv
mở vô tuyến;open_tv
bật vô tuyến lên;open_tv
mở ti vi phòng khách;open_tv
bật ti vi giúp tôi;open_tv
mở ti vi ngay;open_tv
cho ti vi chạy;open_tv
bật màn hình;open_tv
mở ti vi lên;open_tv
bật ti vi đi;open_tv
mở ti vi phòng tôi;open_tv
cho vô tuyến hoạt động;open_tv
bật ti vi lên đi;open_tv
mở ti vi giúp tôi;open_tv
bật ti vi lên;open_tv
mở ti vi đi;open_tv
bật ti vi phòng khách;open_tv
mở ti vi;open_tv
cho ti vi chạy đi;open_tv
bật kênh vtv1;open_tv
mở ti vi xem phim;open_tv
bật ti vi lên xem thời sự;open_tv
mở truyền hình;open_tv
bật ti vi;open_tv
cho ti vi hoạt động;open_tv
mở ti vi phòng ngủ;open_tv
bật kênh giải trí;open_tv
mở ti vi lên đi con;open_tv
bật ti vi, tôi xem bóng đá;open_tv
làm ơn bật ti vi giúp tôi;open_tv
bạn có thể mở ti vi được không;open_tv
phiền anh bật ti vi phòng khách;open_tv
cho tôi nhờ bật ti vi lên;open_tv
xin hãy bật ti vi;open_tv
bạn vui lòng bật ti vi giúp;open_tv
có thể mở ti vi được không ạ;open_tv
làm ơn bật ti vi hộ tôi;open_tv
bật ti vi giúp em với;open_tv
mở ti vi dùm tôi;open_tv
bạn có thể bật ti vi giúp tôi không;open_tv
làm ơn mở ti vi;open_tv
bạn bật ti vi giúp tôi nhé;open_tv
có thể mở ti vi không;open_tv
bật ti vi giùm tôi;open_tv
bạn mở ti vi giúp tôi được không;open_tv
làm ơn bật kênh truyền hình lên;open_tv
có thể bật ti vi không;open_tv
mở ti vi giúp tôi nhé;open_tv
làm ơn bật ti vi;open_tv
muốn xem phim, bật ti vi;open_tv
có trận bóng, mở ti vi;open_tv
muốn xem tin tức, bật ti vi;open_tv
giải trí chút, mở ti vi;open_tv
đang rảnh, bật ti vi;open_tv
muốn xem chương trình, mở ti vi;open_tv
bật ti vi để xem;open_tv
muốn thư giãn, bật ti vi;open_tv
xem phim nên mở ti vi;open_tv
có show hay, bật ti vi;open_tv
sắp có phim hay, bật ti vi lên;open_tv
bóng đá sắp đá rồi, bật ti vi đi;open_tv
xem thời sự 7 giờ, bật ti vi;open_tv
ở nhà buồn quá, bật ti vi xem;open_tv
có khách đến chơi, bật ti vi mời xem;open_tv
con muốn xem hoạt hình, bật ti vi giúp con;open_tv
chương trình ca nhạc tối nay, bật ti vi;open_tv
tập thể dục với ti vi, bật lên;open_tv
nghe tin dự báo bão, bật ti vi xem;open_tv
bật ti vi xem thời tiết;open_tv
muốn xem gì đó;open_tv
có gì trên ti vi không;open_tv
xem phim gì hay đi;open_tv
có chương trình gì hay không;open_tv
muốn giải trí;open_tv
bật cái gì đó xem đi;open_tv
xem ti vi chút;open_tv
không biết xem gì;open_tv
có phim gì không;open_tv
mở ti vi lên xem có gì hay không;open_tv
ti vi đâu rồi, bật lên;open_tv
xem phim đi;open_tv
hôm nay có chương trình gì không;open_tv
lâu rồi không xem ti vi;open_tv
bật kênh thể thao;open_tv
tối nay có gì không;open_tv
mở ti vi đi, chán quá;open_tv
nghe ngóng tin tức;open_tv
coi bóng đá không;open_tv
ngắt vô tuyến đi;close_tv
tôi không xem nữa, tắt vô tuyến;close_tv
tắt ti vi phòng khách;close_tv
ngắt ti  đi;close_tv
ngắt hộ tôi cái ti vi;close_tv
tắt ti vi cho tôi;close_tv
ngừng xem, tắt đi;close_tv
tắt ngay;close_tv
ngừng hết ti vi;close_tv
tắt truyền hình;close_tv
đóng ti vi phòng ngủ;close_tv
đóng ti vi đi, không xem nữa;close_tv
tắt ti vi, chương trình kết thúc rồi;close_tv
tắt đi, tốn điện;close_tv
tắt nó đi;close_tv
ngắt màn hình đi;close_tv
tắt màn hình;close_tv
tắt ti vi ngay;close_tv
ngừng ti vi;close_tv
tắt ti vi giúp tôi;close_tv
ngắt ti vi;close_tv
tắt ti vi phòng tôi;close_tv
cho ti vi dừng;close_tv
tắt ti vi luôn;close_tv
ngừng phát ti vi;close_tv
tắt ti vi đi;close_tv
bạn có thể tắt ti vi giúp tôi không;close_tv
làm ơn tắt vô tuyến giúp tôi;close_tv
bạn tắt ti vi giúp tôi nhé;close_tv
có thể tắt ti vi không;close_tv
tắt ti vi giùm tôi;close_tv
bạn tắt ti vi giúp tôi được không;close_tv
làm ơn ngắt vô tuyến cho tôi;close_tv
có thể ngắt ti vi không;close_tv
tắt ti vi giúp tôi nhé;close_tv
làm ơn tắt ti vi;close_tv
làm ơn tắt ti vi giúp tôi;close_tv
bạn có thể tắt ti vi được không;close_tv
phiền anh tắt ti vi phòng khách;close_tv
cho tôi nhờ tắt ti vi;close_tv
xin hãy tắt ti vi;close_tv
bạn vui lòng tắt ti vi giúp;close_tv
có thể ngừng ti vi được không ạ;close_tv
làm ơn tắt ti vi hộ tôi;close_tv
ngắt ti vi giúp em;close_tv
tắt ti vi dùm tôi;close_tv
hết phim rồi, tắt ti vi đi;close_tv
đi ngủ thôi, tắt ti vi;close_tv
con học bài, bố tắt ti vi giúp con;close_tv
không ai xem, tắt cho đỡ tốn điện;close_tv
bóng đá xong rồi, tắt đi;close_tv
em bé ngủ, tắt ti vi kẻo ồn;close_tv
ra ngoài, tắt ti vi;close_tv
mưa giông sắp tới, tắt ti vi tránh sét;close_tv
tắt ti vi, nói chuyện với nhau;close_tv
chương trình không hay, tắt đi;close_tv
muốn ngủ, tắt ti vi;close_tv
không xem nữa, tắt ti vi;close_tv
ồn quá, tắt ti vi;close_tv
tiết kiệm điện, tắt ti vi;close_tv
xem xong rồi, tắt ti vi;close_tv
không cần nữa, tắt ti vi;close_tv
nhức đầu quá, tắt ti vi;close_tv
không thích chương trình, tắt ti vi;close_tv
muốn yên tĩnh, tắt ti vi;close_tv
xem xong rồi;close_tv
không cần nữa;close_tv
đủ rồi, tắt đi;close_tv
chán quá, tắt đi;close_tv
không xem nữa;close_tv
ngắt màn hình ti vi đi;close_tv
ngắt kênh này đi;close_tv
